avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
2,1,MCI,2.5,1.5,1.2647530262825,4.0
11,6,EVE,10.75,5.75,-0.08361204431500002,4.0
5,3,NFO,6.25,3.5,0.542197063715,3.75
7,4,ARS,7.75,4.25,0.49164508369500004,2.5
15,8,LEI,14.0,7.5,-0.3763734745025,2.25
8,4,CHE,7.5,4.0,0.46331537218749996,2.0
1,1,LIV,1.75,1.25,1.67974987233,1.75
9,5,BRE,9.0,4.75,0.25826375761,1.75
17,9,CRY,14.5,7.5,-0.6581338951975,1.25
4,2,TOT,6.5,3.25,0.5739576700025,0.25
6,3,AVL,6.5,3.5,0.5272498385925,-0.25
18,9,WOL,17.5,8.75,-1.3288262115525,-1.25
3,2,BHA,5.0,3.0,0.7563264992500001,-1.75
13,7,FUL,12.5,6.5,-0.1934667423475,-1.75
12,6,MUN,11.75,6.0,-0.11751852705250002,-2.0
19,10,IPS,18.5,9.75,-1.4120948867475,-2.25
14,7,NEW,13.5,6.75,-0.2924681898525,-2.5
16,8,WHU,14.5,7.25,-0.4248614327275,-3.75
10,5,BOU,10.75,5.5,-0.049916354455,-4.0
20,10,SOU,19.0,9.75,-1.6201864249075,-4.0
