team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,5,"Saka (MID, ?) ==> (5.0, 6.667)","Saliba (DEF, ?) ==> (2.0, 3.389)","Raya (GKP, ?) ==> (2.5, 3.333)","Gabriel (DEF, ?) ==> (2.0, 3.111)","Ødegaard (MID, ?) ==> (2.0, 3.111)"
NEW,4,"Isak (FWD, ?) ==> (3.5, 4.833)","Gordon (MID, ?) ==> (2.0, 2.444)","Barnes (MID, ?) ==> (2.0, 2.444)","Hall (DEF, ?) ==> (2.0, 2.444)","Bruno G. (MID, ?) ==> (2.0, 2.222)"
FUL,3,"Iwobi (MID, ?) ==> (3.0, 3.333)","Leno (GKP, ?) ==> (2.5, 2.667)","Robinson (DEF, ?) ==> (2.0, 2.5)","Raúl (FWD, ?) ==> (2.0, 2.333)","Andreas (MID, ?) ==> (2.0, 2.333)"
CHE,2,"Palmer (MID, ?) ==> (6.0, 6.889)","N.Jackson (FWD, ?) ==> (5.5, 6.278)","Madueke (MID, ?) ==> (3.0, 3.444)","Cucurella (DEF, ?) ==> (2.0, 2.333)","Enzo (MID, ?) ==> (2.0, 2.222)"
AVL,2,"Watkins (FWD, ?) ==> (2.0, 2.222)","Martinez (GKP, ?) ==> (2.0, 2.222)","McGinn (MID, ?) ==> (2.0, 2.222)","Rogers (MID, ?) ==> (2.0, 2.111)","Konsa (DEF, ?) ==> (1.0, 1.222)"
BOU,1,"Kluivert (MID, ?) ==> (2.5, 2.611)","Evanilson (FWD, ?) ==> (2.0, 2.111)","Kerkez (DEF, ?) ==> (2.0, 2.111)","Smith (DEF, ?) ==> (1.5, 1.556)","O.Dango (MID, ?) ==> (1.0, 1.111)"
NFO,1,"Wood (FWD, ?) ==> (7.0, 7.389)","Milenković (DEF, ?) ==> (3.5, 3.778)","Anderson (MID, ?) ==> (2.5, 2.667)","Sels (GKP, ?) ==> (2.5, 2.556)","Hudson-Odoi (MID, ?) ==> (2.5, 2.556)"
BHA,1,"João Pedro (FWD, ?) ==> (2.0, 2.222)","Georginio (MID, ?) ==> (2.0, 2.111)","Ayari (MID, ?) ==> (2.0, 2.111)","Mitoma (MID, ?) ==> (2.0, 2.056)","Minteh (MID, ?) ==> (1.0, 1.111)"
LEI,1,"Vardy (FWD, ?) ==> (3.0, 3.222)","Buonanotte (MID, ?) ==> (2.0, 2.222)","J.Ayew (MID, ?) ==> (2.0, 2.111)","El Khannouss (MID, ?) ==> (1.0, 1.111)","De Cordova-Reid (MID, ?) ==> (1.0, 1.111)"
LIV,0,"M.Salah (MID, ?) ==> (10.0, 10.0)","Alexander-Arnold (DEF, ?) ==> (2.0, 2.0)","Szoboszlai (MID, ?) ==> (2.0, 2.0)","Gravenberch (MID, ?) ==> (2.0, 2.0)","Gakpo (FWD, ?) ==> (1.0, 1.0)"
TOT,0,"Maddison (MID, ?) ==> (4.0, 4.0)","Johnson (MID, ?) ==> (3.5, 3.5)","Son (MID, ?) ==> (2.5, 2.5)","Kulusevski (MID, ?) ==> (2.0, 2.0)","Pedro Porro (DEF, ?) ==> (2.0, 2.0)"
MUN,-1,"B.Fernandes (MID, ?) ==> (3.0, 2.833)","Amad (MID, ?) ==> (3.0, 2.667)","Onana (GKP, ?) ==> (2.5, 2.333)","Rashford (MID, ?) ==> (2.0, 1.889)","Zirkzee (FWD, ?) ==> (1.0, 1.0)"
BRE,-1,"Mbeumo (MID, ?) ==> (6.5, 6.056)","Flekken (GKP, ?) ==> (3.0, 2.889)","Damsgaard (MID, ?) ==> (3.0, 2.833)","Wissa (FWD, ?) ==> (2.0, 1.778)","Schade (MID, ?) ==> (1.5, 1.444)"
WHU,-1,"Bowen (MID, ?) ==> (2.5, 2.444)","Souček (MID, ?) ==> (2.0, 1.889)","L.Paquetá (MID, ?) ==> (2.0, 1.889)","Wan-Bissaka (DEF, ?) ==> (2.0, 1.889)","Kudus (MID, ?) ==> (2.0, 1.833)"
WOL,-1,"Cunha (FWD, ?) ==> (4.0, 3.722)","Strand Larsen (FWD, ?) ==> (2.0, 1.944)","Mario Jr. (MID, ?) ==> (2.0, 1.889)","J.Gomes (MID, ?) ==> (2.0, 1.889)","Bellegarde (MID, ?) ==> (1.5, 1.389)"
EVE,-2,"Young (DEF, ?) ==> (5.0, 4.333)","Pickford (GKP, ?) ==> (2.0, 1.778)","McNeil (MID, ?) ==> (2.0, 1.778)","Tarkowski (DEF, ?) ==> (2.0, 1.556)","Mykolenko (DEF, ?) ==> (2.0, 1.556)"
MCI,-2,"Haaland (FWD, ?) ==> (5.0, 4.333)","Bernardo (MID, ?) ==> (2.0, 1.778)","Gvardiol (DEF, ?) ==> (2.0, 1.556)","Doku (MID, ?) ==> (1.5, 1.167)","De Bruyne (MID, ?) ==> (1.0, 0.778)"
SOU,-3,"M.Fernandes (MID, ?) ==> (2.0, 1.667)","Downes (MID, ?) ==> (2.0, 1.667)","Aribo (MID, ?) ==> (1.5, 1.333)","Archer (FWD, ?) ==> (1.5, 1.333)","Armstrong (FWD, ?) ==> (1.0, 0.667)"
IPS,-4,"Morsy (MID, ?) ==> (2.0, 2.0)","Hutchinson (MID, ?) ==> (2.0, 2.0)","Muric (GKP, ?) ==> (2.0, 1.556)","Chaplin (MID, ?) ==> (1.0, 0.778)","Burns (MID, ?) ==> (1.0, 0.556)"
CRY,-5,"Henderson (GKP, ?) ==> (2.0, 1.444)","I.Sarr (MID, ?) ==> (2.0, 1.444)","Mateta (FWD, ?) ==> (2.0, 1.444)","Hughes (MID, ?) ==> (1.5, 1.222)","Muñoz (DEF, ?) ==> (1.0, 1.0)"
