att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
3,2,CHE,30.011480617918274,1.9166666666666667,0.9903436313996574,7
6,3,BRE,28.71816949906249,1.8333333333333333,0.758405962985045,7
2,1,LIV,33.50928801500014,2.0,1.4909311951416608,6
4,2,WOL,30.399026989895233,1.6666666666666667,0.8145850230392273,5
5,3,BHA,29.341943796768433,1.75,0.7600930013060775,5
1,1,TOT,34.59794290739447,2.25,1.846586371757168,4
10,5,BOU,25.948497167606234,1.3333333333333333,-0.025092371549058273,4
14,7,NFO,22.82404531833113,1.25,-0.48018113821035363,3
9,5,AVL,24.241808286455836,1.5833333333333333,-0.010090440581395993,1
7,4,ARS,27.66666666666873,1.75,0.5559361469279951,0
15,8,LEI,21.957107631043392,1.25,-0.5858300890596941,0
8,4,FUL,28.61229367979385,1.4166666666666667,0.3738588505293956,-1
13,7,NEW,25.655186048750455,1.0833333333333333,-0.28382335571459993,-2
12,6,MUN,26.061468398956887,1.0833333333333333,-0.23431194944192058,-4
20,10,SOU,16.688112851143938,0.75,-1.6739071705895605,-4
11,6,MCI,21.977198712392646,1.8333333333333333,-0.06307925073221632,-5
18,9,EVE,19.165989115105745,0.8333333333333334,-1.2976130315420535,-6
19,10,CRY,16.53647450843758,0.8333333333333334,-1.61805758426161,-6
16,8,IPS,22.582237031875298,1.0833333333333333,-0.6583068329116049,-7
17,9,WHU,21.344813951249545,1.25,-0.660446968488339,-7
